case_id,image_path,mask_path,model,checkpoint,threshold,stride,prediction_shape,target_shape,tp_voxels,fp_voxels,fn_voxels,tn_voxels,dice,iou,precision,recall,sensitivity,specificity,true_volume_ml,pred_volume_ml,abs_volume_error_ml
077.nii.gz,data/raw/images/077.nii.gz,data/raw/masks/077.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,31x650x650,31x650x650,39029,392196,5504,12660771,0.16407080910883265,0.08936663239674947,0.09050727578410343,0.8764062605259021,0.8764062605259021,0.9699534979288617,222.665,2156.125,1933.46
078.nii.gz,data/raw/images/078.nii.gz,data/raw/masks/078.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,31x650x650,31x650x650,2024,209795,8719,12876962,0.0181881902570969,0.009177556702246325,0.009555327897875072,0.18840174997672904,0.18840174997672904,0.9839689084163479,53.715,1059.095,1005.38
079.nii.gz,data/raw/images/079.nii.gz,data/raw/masks/079.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,26x650x650,26x650x650,0,95909,266,10888825,0.0,0.0,0.0,0.0,0.0,0.9912688827967978,1.33,479.545,478.215
080.nii.gz,data/raw/images/080.nii.gz,data/raw/masks/080.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,29x650x650,29x650x650,6245,165603,15211,12065441,0.06461325166576998,0.03338518863032519,0.03634025417811089,0.2910607755406413,0.2910607755406413,0.9864604362473064,107.28,859.24,751.96
081.nii.gz,data/raw/images/081.nii.gz,data/raw/masks/081.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,29x650x650,29x650x650,60106,353578,3717,11835099,0.25174918901712434,0.14400061331908645,0.14529447597683257,0.9417608072325024,0.9417608072325024,0.9709912732940581,319.115,2068.42,1749.305
082.nii.gz,data/raw/images/082.nii.gz,data/raw/masks/082.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,29x650x650,29x650x650,38,353966,3125,11895371,0.0002127856156923792,0.00010640412848018503,0.00010734341984836329,0.012013910844135315,0.012013910844135315,0.971103252363781,15.815,1770.02,1754.205
083.nii.gz,data/raw/images/083.nii.gz,data/raw/masks/083.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,32x650x650,32x650x650,4990,299130,729,13215151,0.03221027695028708,0.016368759615416156,0.01640799684335131,0.8725301626158419,0.8725301626158419,0.9778656370990066,28.595,1520.6,1492.005
084.nii.gz,data/raw/images/084.nii.gz,data/raw/masks/084.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,36x650x650,36x650x650,4330,503658,2093,14699919,0.01683478774754039,0.008488847849655251,0.008523823397403088,0.6741398100576055,0.6741398100576055,0.966872401146125,32.115,2539.94,2507.825
085.nii.gz,data/raw/images/085.nii.gz,data/raw/masks/085.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,19x650x650,19x650x650,1736,855450,679,7169635,0.004039083249088821,0.0020236284263841046,0.0020252313966863666,0.7188405797101449,0.7188405797101449,0.8934029982236948,12.075,4285.93,4273.855
086.nii.gz,data/raw/images/086.nii.gz,data/raw/masks/086.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,29x650x650,29x650x650,68,70449,5057,12176926,0.0017979429417519367,0.0008997803477386403,0.0009643064792886822,0.013268292682926829,0.013268292682926829,0.9942478286163362,25.625,352.585,326.96
087.nii.gz,data/raw/images/087.nii.gz,data/raw/masks/087.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,32x650x650,32x650x650,17806,108408,12794,13380992,0.22709707041463134,0.12809334714548803,0.14107785190232464,0.5818954248366013,0.5818954248366013,0.9919634676116061,153.0,631.07,478.07
088.nii.gz,data/raw/images/088.nii.gz,data/raw/masks/088.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,31x650x650,31x650x650,10108,457832,182,12629378,0.0422725466825586,0.021592661742024514,0.021601059964952773,0.9823129251700681,0.9823129251700681,0.9650168370493023,51.45,2339.7,2288.25
089.nii.gz,data/raw/images/089.nii.gz,data/raw/masks/089.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,35x650x650,35x650x650,8535,246775,3559,14528631,0.06383599347803323,0.03297034407364342,0.033429947906466646,0.7057218455432446,0.7057218455432446,0.9832982592830275,60.47,1276.55,1216.08
090.nii.gz,data/raw/images/090.nii.gz,data/raw/masks/090.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,28x650x650,28x650x650,3964,157005,1107,11667924,0.04774753071549025,0.024457661837656408,0.024625859637569966,0.7816998619601656,0.7816998619601656,0.9867225418435916,25.355,804.845,779.49
091.nii.gz,data/raw/images/091.nii.gz,data/raw/masks/091.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,33x650x650,33x650x650,7582,147632,1842,13785444,0.09210510331758161,0.04827577424612877,0.04884868632984138,0.8045415959252971,0.8045415959252971,0.9894042062212249,47.12,776.07,728.95
092.nii.gz,data/raw/images/092.nii.gz,data/raw/masks/092.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,31x650x650,31x650x650,8748,258558,5585,12824609,0.062122078263308705,0.03205675526125816,0.03272653812484568,0.6103397753436126,0.6103397753436126,0.9802373538455941,71.665,1336.53,1264.865
093.nii.gz,data/raw/images/093.nii.gz,data/raw/masks/093.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,32x650x650,32x650x650,680,378885,1405,13139030,0.0035634743875278397,0.00178491744756805,0.0017915245083187333,0.3261390887290168,0.3261390887290168,0.971971639117423,10.425,1897.825,1887.4
094.nii.gz,data/raw/images/094.nii.gz,data/raw/masks/094.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,34x650x650,34x650x650,78628,445275,19150,13821947,0.2529528809791517,0.14478881435145372,0.15008121732458107,0.8041481723905173,0.8041481723905173,0.9687903503569231,488.89,2619.515,2130.625
095.nii.gz,data/raw/images/095.nii.gz,data/raw/masks/095.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,29x650x650,29x650x650,0,175145,0,12077355,0.0,0.0,0.0,1.0,1.0,0.9857053662517854,0.0,875.725,875.725
096.nii.gz,data/raw/images/096.nii.gz,data/raw/masks/096.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,33x650x650,33x650x650,0,392921,0,13549579,0.0,0.0,0.0,1.0,1.0,0.9718184687107764,0.0,1964.605,1964.605
097.nii.gz,data/raw/images/097.nii.gz,data/raw/masks/097.nii.gz,sw_v9,models/best_model_slidingWindow_v9_dice.pth,0.3,64,31x650x650,31x650x650,8152,344425,2736,12742187,0.04485713892671921,0.02294315153118518,0.023121190548447572,0.748714180749449,0.748714180749449,0.9736811177713529,54.44,1762.885,1708.445
